{'order_id': 'o_33163', 'customer_id': 'u_6863634677', 'product_id': '1666344', 'product_price': 19.16, 'create_time': '2023-11-17 02:33:59'}
{'order_id': 'o_45414', 'customer_id': 'u_6863634677', 'product_id': '1541864', 'product_price': 9.67, 'create_time': '2023-05-23 09:20:54'}
{'order_id': 'o_29272', 'customer_id': 'u_6863634677', 'product_id': '1696454', 'product_price': 8.99, 'create_time': '2023-05-30 11:41:46'}
{'order_id': 'o_96285', 'customer_id': 'u_6863634677', 'product_id': '1281145', 'product_price': 8.79, 'create_time': '2023-08-19 02:10:10'}
{'order_id': 'o_32029', 'customer_id': 'u_6863634677', 'product_id': '1283907', 'product_price': 15.29, 'create_time': '2023-01-29 22:33:36'}
{'order_id': 'o_94388', 'customer_id': 'u_6863634677', 'product_id': '1628563', 'product_price': 12.35, 'create_time': '2023-09-08 14:11:16'}
{'order_id': 'o_81514', 'customer_id': 'u_6863634677', 'product_id': '1677149', 'product_price': 17.99, 'create_time': '2023-09-22 21:39:48'}
{'order_id': 'o_13713', 'customer_id': 'u_6863634677', 'product_id': '1647094', 'product_price': 20.99, 'create_time': '2023-08-11 15:10:48'}
{'order_id': 'o_64328', 'customer_id': 'u_6863634677', 'product_id': '1324913', 'product_price': 12.94, 'create_time': '2023-05-24 02:38:04'}
{'order_id': 'o_69405', 'customer_id': 'u_6863634677', 'product_id': '1676848', 'product_price': 24.99, 'create_time': '2023-05-19 04:05:42'}
{'order_id': 'o_72458', 'customer_id': 'u_6863634677', 'product_id': '1176093', 'product_price': 10.99, 'create_time': '2023-11-29 16:39:02'}
{'order_id': 'o_41850', 'customer_id': 'u_6863634677', 'product_id': '1699076', 'product_price': 14.99, 'create_time': '2023-01-16 20:37:32'}
{'order_id': 'o_58281', 'customer_id': 'u_6863634677', 'product_id': '1609720', 'product_price': 18.99, 'create_time': '2023-08-14 13:08:49'}
{'order_id': 'o_37561', 'customer_id': 'u_6863634677', 'product_id': '1604080', 'product_price': 18.04, 'create_time': '2023-03-25 00:19:47'}
{'order_id': 'o_44002', 'customer_id': 'u_6863634677', 'product_id': '1717308', 'product_price': 44.99, 'create_time': '2023-09-24 05:25:57'}
{'order_id': 'o_19610', 'customer_id': 'u_6863634677', 'product_id': '1378846', 'product_price': 26.99, 'create_time': '2023-02-05 08:00:50'}
{'order_id': 'o_66984', 'customer_id': 'u_6863634677', 'product_id': '1432424', 'product_price': 12.31, 'create_time': '2023-03-18 22:27:16'}
{'order_id': 'o_87275', 'customer_id': 'u_6863634677', 'product_id': '1133238', 'product_price': 22.84, 'create_time': '2023-01-17 23:20:27'}
{'order_id': 'o_61778', 'customer_id': 'u_6863634677', 'product_id': '1705171', 'product_price': 25.99, 'create_time': '2023-01-29 11:12:53'}
{'order_id': 'o_36355', 'customer_id': 'u_6863634677', 'product_id': '1394633', 'product_price': 97.91, 'create_time': '2023-07-29 06:29:40'}
{'order_id': 'o_82233', 'customer_id': 'u_6863634677', 'product_id': '1692257', 'product_price': 29.99, 'create_time': '2023-04-14 10:38:46'}
{'order_id': 'o_28064', 'customer_id': 'u_6863634677', 'product_id': '1673638', 'product_price': 11.99, 'create_time': '2023-01-22 12:18:00'}
{'order_id': 'o_15461', 'customer_id': 'u_6863634677', 'product_id': '1717516', 'product_price': 10.48, 'create_time': '2023-06-03 15:34:47'}
{'order_id': 'o_14755', 'customer_id': 'u_6863634677', 'product_id': '1634735', 'product_price': 13.79, 'create_time': '2023-09-02 17:49:50'}
{'order_id': 'o_69133', 'customer_id': 'u_6863634677', 'product_id': '1696089', 'product_price': 16.5, 'create_time': '2023-03-16 04:03:34'}
{'order_id': 'o_37194', 'customer_id': 'u_6863634677', 'product_id': '1176683', 'product_price': 30.01, 'create_time': '2023-02-07 13:19:49'}
{'order_id': 'o_23317', 'customer_id': 'u_6863634677', 'product_id': '1685443', 'product_price': 26.99, 'create_time': '2023-03-06 20:29:11'}
{'order_id': 'o_82312', 'customer_id': 'u_6863634677', 'product_id': '1665810', 'product_price': 32.76, 'create_time': '2023-04-01 19:35:13'}
{'order_id': 'o_59329', 'customer_id': 'u_6863634677', 'product_id': '1406936', 'product_price': 23.06, 'create_time': '2023-05-29 17:23:39'}
{'order_id': 'o_40868', 'customer_id': 'u_6863634677', 'product_id': '1637922', 'product_price': 12.99, 'create_time': '2023-07-07 18:39:25'}
{'order_id': 'o_15298', 'customer_id': 'u_6863634677', 'product_id': '1605509', 'product_price': 31.31, 'create_time': '2023-06-01 02:32:04'}
{'order_id': 'o_85276', 'customer_id': 'u_6863634677', 'product_id': '1248610', 'product_price': 16.07, 'create_time': '2023-07-22 19:07:49'}
{'order_id': 'o_73596', 'customer_id': 'u_6863634677', 'product_id': '1668759', 'product_price': 24.19, 'create_time': '2023-01-11 07:34:46'}
{'order_id': 'o_19800', 'customer_id': 'u_6863634677', 'product_id': '1551438', 'product_price': 52.5, 'create_time': '2023-03-17 16:19:44'}
{'order_id': 'o_41439', 'customer_id': 'u_6863634677', 'product_id': '1339676', 'product_price': 45.12, 'create_time': '2023-04-19 06:46:34'}
{'order_id': 'o_45570', 'customer_id': 'u_6863634677', 'product_id': '1689716', 'product_price': 41.55, 'create_time': '2023-11-30 18:17:42'}
